mean_info_propagated,std_info_propagated,mean_time_relaxation,std_time_relaxation,state_of_order,v,ℓ,R,K,δ,s,n,label
0.7770871330450261,0.19306786127971146,90.19999999999915,NaN,unknown,0.0024787521766663585,0.8,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
1.0,1.3707501753801167e-16,116.23012048192909,100.49599523018276,polarized,0.0024787521766663585,0.8,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.5049312529639709,0.5139113280389322,1225.94285714254,829.4311401135326,milling,0.0024787521766663585,0.8,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
NaN,NaN,NaN,NaN,diverging,0.0024787521766663585,0.8,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
NaN,NaN,NaN,NaN,unknown,0.0024787521766663585,1.4,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
1.0,1.1845085280834963e-16,4.201052631578945,2.021190650615771,polarized,0.0024787521766663585,1.4,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
1.0,1.2819751242557092e-16,3.9999999999999982,2.4979991993593558,milling,0.0024787521766663585,1.4,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.9999999999999999,NaN,7.999999999999988,NaN,diverging,0.0024787521766663585,1.4,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.465502813258999,0.35713606927966746,135.43333333332973,79.75088296271495,unknown,0.0024787521766663585,0.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.9501198985682123,0.16303298164534027,532.5880000000537,90.34427946835115,polarized,0.0024787521766663585,0.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.43694164190461693,0.5482877757379163,277.627272727287,413.86795500720456,milling,0.0024787521766663585,0.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
NaN,NaN,NaN,NaN,diverging,0.0024787521766663585,0.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
NaN,NaN,NaN,NaN,unknown,0.0024787521766663585,1.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
1.0,8.614363580556748e-17,2.876767676767677,1.605972798383779,polarized,0.0024787521766663585,1.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
1.0,NaN,3.4000000000000017,NaN,milling,0.0024787521766663585,1.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
NaN,NaN,NaN,NaN,diverging,0.0024787521766663585,1.6,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.41381688350879703,0.4353326816492956,847.1599999997286,1013.1625007861437,unknown,0.0024787521766663585,0.4,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
0.9637270500502457,0.1892476673209392,699.7098039216118,282.2255993028896,polarized,0.0024787521766663585,0.4,1.0,0.0,0.0,0.1,20,uniform_circle_l_v
